,Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,Contrato 2019,Equipo 2019,Contrato 2018,Equipo 2018,Contrato 2017,Equipo 2017,Contrato 2016,Equipo 2016,RANK 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020,RANK 2019,AGE 2019,GP 2019,W 2019,L 2019,MIN 2019,PTS 2019,FGM 2019,FGA 2019,FG% 2019,3PM 2019,3PA 2019,3P% 2019,FTM 2019,FTA 2019,FT% 2019,OREB 2019,DREB 2019,REB 2019,AST 2019,TOV 2019,STL 2019,BLK 2019,PF 2019,FP 2019,DD2 2019,TD3 2019,+/- 2019,RANK 2018,AGE 2018,GP 2018,W 2018,L 2018,MIN 2018,PTS 2018,FGM 2018,FGA 2018,FG% 2018,3PM 2018,3PA 2018,3P% 2018,FTM 2018,FTA 2018,FT% 2018,OREB 2018,DREB 2018,REB 2018,AST 2018,TOV 2018,STL 2018,BLK 2018,PF 2018,FP 2018,DD2 2018,TD3 2018,+/- 2018,RANK 2017,AGE 2017,GP 2017,W 2017,L 2017,MIN 2017,PTS 2017,FGM 2017,FGA 2017,FG% 2017,3PM 2017,3PA 2017,3P% 2017,FTM 2017,FTA 2017,FT% 2017,OREB 2017,DREB 2017,REB 2017,AST 2017,TOV 2017,STL 2017,BLK 2017,PF 2017,FP 2017,DD2 2017,TD3 2017,+/- 2017,RANK 2016,AGE 2016,GP 2016,W 2016,L 2016,MIN 2016,PTS 2016,FGM 2016,FGA 2016,FG% 2016,3PM 2016,3PA 2016,3P% 2016,FTM 2016,FTA 2016,FT% 2016,OREB 2016,DREB 2016,REB 2016,AST 2016,TOV 2016,STL 2016,BLK 2016,PF 2016,FP 2016,DD2 2016,TD3 2016,+/- 2016
0,NATASHA HOWARD,,DAL,,DAL,,NY,898700.0,NY,345000.0,SEA,345000.0,SEA,345000.0,SEA,,,,,13.0,33.0,27.0,7.0,20.0,30.5,17.6,6.9,15.2,45.6,0.4,2.0,20.0,3.3,4.6,71.8,2.0,4.8,6.7,2.9,2.8,1.3,0.8,3.1,31.7,4.0,0.0,-5.6,18.0,32.0,39.0,21.0,18.0,33.0,16.5,6.3,13.8,45.8,1.0,3.3,29.9,2.8,3.5,81.5,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6,32.9,12.0,1.0,2.9,16.0,31.0,35.0,16.0,19.0,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1,30.2,10.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,27.0,34.0,26.0,8.0,25.6,13.2,5.1,9.4,54.7,0.5,1.5,32.7,2.4,3.1,79.8,2.4,4.1,6.4,1.0,1.9,1.3,2.0,3.7,27.7,5.0,0.0,7.9,98.0,26.0,34.0,27.0,7.0,11.7,4.3,1.8,3.7,48.4,0.1,0.4,21.4,0.6,0.9,73.3,0.9,1.5,2.4,0.7,0.8,0.5,0.6,1.6,9.8,0.0,0.0,2.6,73.0,25.0,34.0,28.0,6.0,14.6,6.7,2.7,4.8,57.4,0.0,0.1,20.0,1.2,1.8,67.7,1.2,2.4,3.6,0.8,1.1,0.7,0.8,2.9,14.1,0.0,0.0,3.7
1,ALYSSA THOMAS,,CON,,CON,,CON,836000.0,CON,345000.0,CON,345000.0,CON,345000.0,CON,,,,,41.0,32.0,40.0,28.0,12.0,32.4,10.6,4.2,8.2,50.9,0.0,0.1,0.0,2.3,3.6,62.8,2.5,6.0,8.4,7.9,3.6,1.6,0.5,2.1,30.9,14.0,3.0,4.8,22.0,32.0,40.0,27.0,13.0,36.1,15.5,6.1,12.8,47.4,0.0,0.1,0.0,3.3,4.7,71.5,2.0,7.9,9.9,7.9,3.4,1.8,0.5,2.7,37.8,28.0,6.0,5.6,27.0,31.0,36.0,25.0,11.0,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8,31.5,12.0,2.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,27.0,24.0,18.0,6.0,30.6,10.3,4.1,8.8,46.4,0.0,0.0,0.0,2.2,4.0,54.7,2.0,6.2,8.1,4.2,2.0,1.2,0.4,2.9,25.8,6.0,0.0,8.8,18.0,26.0,33.0,21.0,12.0,29.8,14.8,5.7,11.2,50.9,0.0,0.1,0.0,3.5,6.1,56.7,1.4,5.4,6.8,4.5,3.0,1.6,0.4,3.2,30.1,5.0,0.0,6.5,35.0,25.0,31.0,13.0,18.0,27.2,11.1,4.2,8.6,48.7,0.0,0.0,0.0,2.7,4.2,63.4,2.0,4.0,6.0,2.3,2.4,1.4,0.2,2.6,22.6,2.0,0.0,-1.8
2,ARIKE OGUNBOWALE,,DAL,725952.0,DAL,,DAL,,DAL,220235.0,DAL,220235.0,DAL,,,,,,,2.0,27.0,38.0,9.0,29.0,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5.0,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2.0,0.0,-6.6,5.0,27.0,40.0,22.0,18.0,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7,35.7,2.0,0.0,3.6,4.0,26.0,30.0,14.0,16.0,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2,32.5,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,22.0,8.0,14.0,34.0,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,0.5,2.3,2.8,3.4,2.0,1.5,0.0,2.4,34.2,0.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MARINA MABREY,,CON,620000.0,CHI,,DAL,,DAL,189522.0,DAL,189522.0,LA,,,,,,,26.0,28.0,40.0,20.0,20.0,30.9,14.4,5.4,13.0,41.3,2.5,6.5,37.7,1.2,1.7,71.0,0.6,3.8,4.4,4.1,2.4,1.1,0.4,2.6,28.4,1.0,0.0,2.7,26.0,27.0,39.0,17.0,22.0,30.0,15.0,5.2,12.6,41.1,2.3,5.8,39.0,2.4,2.8,83.6,0.9,2.9,3.7,3.6,2.2,0.7,0.5,2.4,27.0,0.0,0.0,-0.5,24.0,26.0,34.0,18.0,16.0,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5,25.2,1.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,24.0,18.0,6.0,12.0,22.4,10.6,3.8,8.8,43.0,2.1,5.1,41.8,0.9,1.3,66.7,0.6,2.7,3.3,2.4,1.7,1.4,0.1,2.1,21.3,0.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KELSEY MITCHELL,,IND,,IND,618000.0,IND,,IND,232178.0,IND,232178.0,IND,232178.0,IND,,,,,8.0,29.0,40.0,20.0,20.0,32.0,19.2,7.1,15.1,46.8,2.7,6.8,40.2,2.4,2.8,83.2,0.7,1.8,2.5,1.8,1.6,0.7,0.2,1.6,27.9,0.0,0.0,-1.7,10.0,28.0,40.0,13.0,27.0,33.7,18.2,6.1,13.9,44.1,2.6,6.4,39.8,3.4,4.1,82.4,0.3,1.3,1.6,3.1,2.3,0.9,0.1,2.0,27.5,0.0,0.0,-2.4,6.0,27.0,31.0,5.0,26.0,32.6,18.4,6.3,14.4,43.8,2.3,5.7,40.9,3.4,3.9,86.1,0.5,1.5,1.9,4.2,2.4,0.9,0.2,2.3,29.0,0.0,0.0,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,24.0,34.0,13.0,21.0,25.0,13.6,4.9,12.7,38.7,2.3,6.2,37.4,1.5,1.8,83.6,0.1,1.5,1.6,2.6,1.7,0.4,0.1,1.7,21.4,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TEAIRA MCCOWAN,,DAL,587100.0,DAL,,DAL,,IND,168754.0,IND,168754.0,IND,,,,,,,37.0,28.0,39.0,9.0,30.0,25.2,11.7,4.7,8.3,57.0,0.0,0.1,25.0,2.3,3.2,71.8,2.9,5.2,8.1,1.6,2.0,0.9,0.9,3.0,24.9,13.0,0.0,-4.1,36.0,27.0,30.0,18.0,12.0,26.1,11.9,5.0,9.1,55.1,0.0,0.1,0.0,1.9,3.3,58.6,3.5,5.6,9.1,1.5,1.5,0.5,1.2,3.3,25.9,13.0,0.0,5.7,43.0,26.0,33.0,17.0,16.0,18.9,11.0,4.2,7.0,60.2,0.0,0.0,0.0,2.5,4.2,60.0,3.0,4.1,7.0,0.8,1.7,0.3,0.7,3.1,20.8,10.0,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,24.0,22.0,6.0,16.0,20.9,10.9,4.1,7.6,53.6,0.0,0.1,0.0,2.7,3.6,75.0,3.1,4.2,7.3,0.6,2.0,0.3,1.0,2.6,21.5,5.0,0.0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BRITTNEY SYKES,,WAS,575000.0,WAS,,LA,223300.0,LA,209712.0,LA,209712.0,ATL,209712.0,ATL,209712.0,ATL,209712.0,ATL,34.0,30.0,18.0,9.0,9.0,23.3,12.2,4.5,11.1,40.5,0.9,3.3,27.1,2.3,3.1,75.0,0.6,3.4,4.1,3.1,2.2,0.9,0.4,1.4,22.8,1.0,0.0,0.5,21.0,30.0,40.0,19.0,21.0,31.3,15.9,5.7,13.1,43.9,1.4,4.0,35.0,3.1,3.8,79.7,1.0,4.0,5.0,3.8,2.4,2.1,0.3,2.9,30.9,2.0,0.0,1.5,33.0,29.0,32.0,10.0,22.0,28.8,12.7,4.8,11.0,43.3,0.4,1.6,26.9,2.7,3.5,77.0,0.7,2.9,3.7,3.7,2.6,2.0,0.7,2.6,25.9,0.0,0.0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,27.0,21.0,14.0,7.0,24.4,10.1,3.5,7.1,48.7,0.8,2.3,32.7,2.4,3.0,80.6,0.8,1.8,2.6,2.1,1.7,1.5,0.3,3.0,19.1,0.0,0.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,25.0,29.0,21.0,8.0,20.7,9.7,3.3,8.1,41.1,0.8,2.8,26.8,2.2,3.4,66.3,0.6,2.9,3.5,2.3,1.1,0.3,0.6,1.8,18.2,0.0,0.0,2.2,23.0,24.0,34.0,12.0,22.0,25.6,13.9,5.0,12.3,40.8,1.1,3.2,33.6,2.8,3.8,72.9,0.8,3.3,4.1,1.9,1.7,0.6,0.5,2.5,23.2,1.0,0.0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHEYENNE PARKER,,ATL,,ATL,,ATL,571650.0,ATL,220000.0,CHI,220000.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NAPHEESA COLLIER,,MIN,,MIN,552516.0,MIN,,MIN,220235.0,MIN,220235.0,MIN,,,,,,,5.0,28.0,34.0,27.0,7.0,34.7,20.4,7.9,16.0,49.2,0.9,2.9,31.0,3.7,4.6,80.4,2.2,7.5,9.7,3.4,2.1,1.9,1.4,2.6,41.1,18.0,0.0,9.2,4.0,27.0,37.0,17.0,20.0,33.5,21.5,8.0,16.6,48.5,0.9,3.1,29.8,4.5,5.4,84.0,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4,39.1,11.0,0.0,-2.8,71.0,26.0,4.0,2.0,2.0,22.7,7.3,2.8,6.5,42.3,0.5,1.8,28.6,1.3,1.8,71.4,0.5,2.5,3.0,1.0,0.3,0.5,0.3,2.3,13.3,0.0,0.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,23.0,34.0,18.0,16.0,33.3,13.1,4.9,10.0,49.0,0.9,2.4,36.1,2.4,3.0,79.2,1.8,4.8,6.6,2.6,1.9,1.9,0.9,2.9,28.8,5.0,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MYISHA HINES-ALLEN,,MIN,,WAS,525300.0,WAS,,WAS,184614.0,WAS,184614.0,WAS,184614.0,WAS,,,,,61.0,29.0,40.0,17.0,23.0,18.7,7.8,3.0,6.1,49.2,0.5,1.3,36.0,1.4,1.7,83.3,1.1,3.6,4.7,2.6,1.4,0.7,0.1,2.0,17.0,2.0,0.0,-3.0,83.0,29.0,35.0,16.0,19.0,17.6,5.6,2.1,6.1,34.0,0.5,1.9,27.3,0.9,1.3,71.7,1.1,3.3,4.4,2.2,1.5,0.7,0.2,2.2,14.4,0.0,0.0,-1.4,56.0,28.0,34.0,20.0,14.0,19.3,8.9,3.4,8.1,41.5,0.9,2.3,36.7,1.3,1.9,70.3,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6,19.1,1.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,25.0,27.0,21.0,6.0,7.8,2.3,0.9,2.6,36.2,0.2,0.6,37.5,0.3,0.4,58.3,0.9,1.2,2.1,0.9,0.8,0.3,0.4,1.2,7.1,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
