Nombre,Contrato,Equipo,Fecha fichaje
Natasha Howard,898700,Çukurova BK (F),31/12/2023
Alyssa Thomas,836000,Connecticut Sun,14/04/2014
Arike Ogunbowale,725952,Dallas Wings,09/04/2019
Marina Mabrey,620000,Connecticut Sun,16/07/2024
Kelsey Mitchell,618000,Indiana Fever,11/04/2018
Teaira McCowan,587100,Dallas Wings,07/03/2022
Brittney Sykes,575000,Washington Mystics,31/01/2023
Cheyenne Parker,571650,Atlanta Dream,31/01/2021
Napheesa Collier,552516,Minnesota Lynx,09/04/2019
Myisha Hines-Allen,525300,Minnesota Lynx,19/08/2024
Jackie Young,504900,Las Vegas Aces,09/04/2019
Allisha Gray,494400,Atlanta Dream,20/01/2023
Jewell Loyd,491016,Seattle Storm,15/04/2015
Kahleah Copper,490118,Phoenix Mercury,05/02/2024
Mercedes Russell,480000,Seattle Storm,29/05/2018
Diana Taurasi,469872,Phoenix Mercury,16/04/2004
Erica Wheeler,444308,Indiana Fever,31/01/2023
Moriah Jefferson,424500,Chicago Sky,16/07/2024
Skylar Diggins-Smith,422685,Seattle Storm,31/01/2024
Kayla McBride,413000,Minnesota Lynx,31/01/2021
Sabrina Ionescu,410060,New York Liberty,16/04/2020
A'ja Wilson,400000,,
Ariel Atkins,400000,Fenerbahce (F),30/06/2024
Kelsey Plum,400000,Las Vegas Aces,12/04/2017
Natasha Cloud,400000,Phoenix Mercury,31/01/2024
Chelsea Gray,392534,Las Vegas Aces,01/02/2021
Kalani Brown,386250,Dallas Wings,01/02/2023
Azurá Stevens,385000,,
Jonquel Jones,385000,New York Liberty,14/01/2023
Courtney Vandersloot,383670,New York Liberty,07/02/2023
Jordin Canada,375000,Atlanta Dream,31/01/2024
Betnijah Laney,365400,New York Liberty,01/02/2021
Katie Lou Samuelson,355250,Indiana Fever,31/01/2024
Courtney Williams,355000,Minnesota Lynx,31/01/2024
Stefanie Dolson,345000,Washington Mystics,11/03/2024
Caitlin Clark,338056,Indiana Fever,14/04/2024
Cameron Brink,338056,Los Angeles Sparks,14/04/2024
Kamilla Cardoso,338056,Chicago Sky,14/04/2024
Rickea Jackson,338056,Los Angeles Sparks,14/04/2024
Stephanie Soares,338056,,
Aaliyah Edwards,324383,Washington Mystics,14/04/2024
Alissa Pili,324383,Minnesota Lynx,14/04/2024
Angel Reese,324383,Chicago Sky,14/04/2024
Jacy Sheldon,324383,Dallas Wings,14/04/2024
Isabelle Harrison,320000,ZVVZ USK Praha (F),30/06/2024
Rebecca Allen,320000,Phoenix Mercury,02/02/2024
Ezi Magbegor,314650,Seattle Storm,09/04/2019
Marquesha Davis,310718,,
Sophie Cunningham,304500,Phoenix Mercury,09/04/2019
Alanna Smith,300000,Minnesota Lynx,31/01/2024
Brianna Turner,300000,,
Nia Coffey,300000,Atlanta Dream,31/01/2022
Kate Martin,297045,,
Leonie Fiebich,297045,,
Nika Mühl,297045,,
Sami Whitcomb,287500,Seattle Storm,02/02/2023
Kia Nurse,285000,Los Angeles Sparks,30/01/2024
Tiffany Mitchell,274050,Connecticut Sun,30/01/2024
Elizabeth Williams,270000,Chicago Sky,02/02/2023
Jade Melbourne,268767,Washington Mystics,10/05/2024
Bridget Carleton,250000,Minnesota Lynx,21/08/2019
Rae Burrell,250000,Los Angeles Sparks,10/04/2022
Jessica Shepard,243600,Minnesota Lynx,09/04/2019
