Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,RANK 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020
DEWANNA BONNER,200000.0,CON,899480.0,CON,899480.0,CON,899480.0,CON,899480.0,CON,22,37,40,28,12,31.8,15.0,5.3,12.8,41.5,1.5,4.9,29.4,3.0,3.6,83.2,0.6,5.4,6.0,2.0,1.4,1.2,0.7,1.8,28.1,3,0,6.1,14,36,40,27,13,30.1,17.4,5.8,13.7,42.5,1.9,5.7,32.9,3.9,4.5,86.2,0.9,4.7,5.6,2.2,1.5,1.1,0.6,1.6,30.4,3,0,4.7,26,35,33,23,10,30.0,13.5,4.7,10.8,43.9,1.4,4.2,32.9,2.6,3.2,82.7,0.8,4.0,4.7,2.8,1.6,1.2,0.3,1.8,25.5,2,0,6.1,16,34,32,26,6,31.9,15.2,5.0,12.6,39.5,1.4,4.3,31.7,3.9,4.3,89.2,0.7,5.8,6.4,3.4,2.2,1.3,0.7,1.6,30.3,4,0,8.7,3,33,22,10,12,33.3,19.7,6.7,16.0,42.2,1.2,4.9,25.2,5.0,5.6,89.5,1.5,6.3,7.8,3.0,2.4,1.7,0.5,2.1,36.2,5,0,2.8
ELENA DELLE DONNE,,,899480.0,WAS,899480.0,WAS,899480.0,WAS,899480.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,34,23,13,10,27.5,16.7,6.2,12.7,48.5,1.0,2.7,39.3,3.3,3.5,93.8,0.9,4.6,5.4,2.1,1.3,0.8,0.9,1.9,28.7,2,0,5.3,9,33,25,18,7,27.8,17.2,6.2,12.9,48.0,1.4,3.8,36.8,3.4,3.7,91.3,1.2,5.1,6.3,2.3,1.1,0.5,1.1,1.4,30.3,3,0,6.3,26,32,3,1,2,17.4,13.7,4.3,9.0,48.1,1.0,1.7,60.0,4.0,4.0,100,1.0,3.3,4.3,0.7,0.7,0.0,0.3,0.7,20.3,0,0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYLAR DIGGINS-SMITH,422685.0,SEA,899480.0,PHX,899480.0,PHX,899480.0,PHX,899480.0,PHX,20,34,40,25,15,31.6,15.1,5.5,12.8,42.7,1.0,3.4,29.1,3.3,3.8,86.7,0.7,1.9,2.6,6.4,2.8,1.7,0.9,2.8,30.4,2,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,30,13,17,34.0,19.7,6.9,16.2,42.9,1.3,4.5,29.6,4.5,5.3,84.4,0.9,3.1,4.0,5.5,2.7,1.5,1.0,2.7,35.7,3,0,-1.0,9,31,32,19,13,32.5,17.7,5.5,12.3,45.2,1.6,4.2,37.0,5.1,6.2,81.8,0.5,2.6,3.2,5.3,2.6,1.1,0.8,2.2,31.3,3,0,5.0,8,30,22,13,9,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90.0,0.5,2.8,3.3,4.2,3.2,0.9,0.5,2.3,30.2,0,0,-1.9
NATASHA HOWARD,898700.0,DAL,898700.0,DAL,898700.0,NY,898700.0,NY,345000.0,SEA,13,33,27,7,20,30.5,17.6,6.9,15.2,45.6,0.4,2.0,20.0,3.3,4.6,71.8,2.0,4.8,6.7,2.9,2.8,1.3,0.8,3.1,31.7,4,0,-5.6,18,32,39,21,18,33.0,16.5,6.3,13.8,45.8,1.0,3.3,29.9,2.8,3.5,81.5,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6,32.9,12,1,2.9,16,31,35,16,19,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1,30.2,10,0,-0.7,14,30,13,4,9,27.5,16.2,6.7,13.5,49.4,0.9,2.8,33.3,1.8,2.4,77.4,2.2,5.1,7.2,1.7,3.8,1.3,0.5,2.9,29.7,4,0,-5.3,53,29,22,18,4,21.0,9.5,4.0,7.5,53.0,0.3,0.9,35.0,1.3,1.6,77.8,2.4,4.7,7.1,1.0,2.1,1.7,0.6,3.0,22.6,3,0,7.4
ALYSSA THOMAS,836000.0,CON,836000.0,CON,836000.0,CON,836000.0,CON,345000.0,CON,41,32,40,28,12,32.4,10.6,4.2,8.2,50.9,0.0,0.1,0.0,2.3,3.6,62.8,2.5,6.0,8.4,7.9,3.6,1.6,0.5,2.1,30.9,14,3,4.8,22,32,40,27,13,36.1,15.5,6.1,12.8,47.4,0.0,0.1,0.0,3.3,4.7,71.5,2.0,7.9,9.9,7.9,3.4,1.8,0.5,2.7,37.8,28,6,5.6,27,31,36,25,11,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8,31.5,12,2,7.3,93,30,2,2,0,17.4,5.5,2.0,7.5,26.7,0.0,0.0,0.0,1.5,2.0,75.0,0.5,4.5,5.0,2.0,1.5,0.5,0.0,2.0,13.5,0,0,9.0,16,29,21,10,11,32.8,15.5,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,1.9,7.2,9.0,4.8,2.5,2.0,0.3,2.8,33.9,7,0,2.7
ARIKE OGUNBOWALE,725952.0,DAL,725952.0,DAL,220235.0,DAL,220235.0,DAL,220235.0,DAL,2,27,38,9,29,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5.0,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2,0,-6.6,5,27,40,22,18,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7,35.7,2,0,3.6,4,26,30,14,16,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2,32.5,0,0,0.1,5,25,32,14,18,31.4,18.7,6.2,16.3,38.3,2.5,6.7,37.6,3.8,4.4,86.4,0.7,2.5,3.2,3.3,2.1,1.2,0.0,2.3,30.0,0,0,-1.5,1,24,22,8,14,34.0,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,0.5,2.3,2.8,3.4,2.0,1.5,0.0,2.4,34.2,0,0,-1.2
MARINA MABREY,620000.0,CON,620000.0,CHI,189522.0,DAL,189522.0,DAL,189522.0,DAL,26,28,40,20,20,30.9,14.4,5.4,13.0,41.3,2.5,6.5,37.7,1.2,1.7,71.0,0.6,3.8,4.4,4.1,2.4,1.1,0.4,2.6,28.4,1,0,2.7,26,27,39,17,22,30.0,15.0,5.2,12.6,41.1,2.3,5.8,39.0,2.4,2.8,83.6,0.9,2.9,3.7,3.6,2.2,0.7,0.5,2.4,27.0,0,0,-0.5,24,26,34,18,16,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5,25.2,1,0,-0.1,30,25,32,14,18,24.2,13.3,4.9,12.2,40.5,2.0,5.8,34.2,1.4,1.6,88.2,0.7,3.2,3.9,2.9,2.1,1.0,0.3,2.5,24.6,0,0,0.2,45,24,18,6,12,22.4,10.6,3.8,8.8,43.0,2.1,5.1,41.8,0.9,1.3,66.7,0.6,2.7,3.3,2.4,1.7,1.4,0.1,2.1,21.3,0,0,-1.2
CHEYENNE PARKER-TYUS,618000.0,IND,618000.0,IND,618000.0,IND,232178.0,IND,232178.0,IND,54,32,25,9,16,19.7,9.2,3.3,7.5,44.4,0.1,0.6,21.4,2.5,2.8,89.9,1.2,3.6,4.8,1.5,2.1,0.8,0.4,2.4,18.1,0,0,-4.2,25,31,40,19,21,26.6,15.0,5.8,12.0,48.2,0.4,1.4,27.8,3.0,3.7,82.9,2.2,4.5,6.7,1.8,2.3,1.1,1.5,2.9,28.9,7,0,-0.9,36,30,36,14,22,26.2,11.8,4.9,9.8,50.0,0.3,1.5,21.8,1.7,2.2,79.5,1.6,4.5,6.2,2.0,2.0,1.0,0.9,2.7,24.1,5,0,-2.9,47,29,13,2,11,20.8,10.2,3.8,8.5,45.0,0.8,2.3,33.3,1.7,2.2,78.6,1.0,3.5,4.5,1.2,1.2,1.2,0.9,2.2,20.8,0,0,-3.9,29,28,20,10,10,24.9,13.4,4.9,8.8,55.4,0.8,1.6,46.9,3.0,3.5,85.5,2.4,4.1,6.4,1.5,2.8,1.3,0.9,3.2,26.5,3,0,2.2
AERIAL POWERS,155000.0,ATL,588801.0,MIN,588801.0,MIN,588801.0,MIN,,,57,30,17,7,10,17.9,8.6,2.9,8.1,35.5,0.8,2.1,38.9,2.0,2.5,79.1,0.9,2.4,3.3,1.4,1.1,0.9,0.2,2.1,16.5,0,0,-4.2,87,30,20,7,13,9.7,5.2,1.9,4.6,41.3,0.3,1.0,31.6,1.1,1.2,91.7,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3,8.6,0,0,-2.1,20,29,35,13,22,27.0,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8,25.9,3,0,-3.7,28,28,14,10,4,22.1,13.4,4.4,10.2,42.7,0.8,2.5,31.4,3.9,4.3,91.7,0.9,2.7,3.6,2.1,2.9,0.4,0.4,2.1,21.4,0,0,3.4,13,27,6,3,3,29.8,16.3,5.3,11.5,46.4,1.5,4.3,34.6,4.2,5.0,83.3,0.3,4.5,4.8,2.5,1.8,1.5,0.0,2.7,28.2,0,0,7.2
BETNIJAH LANEY,365400.0,NY,588801.0,NY,588801.0,NY,588801.0,NY,182700.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
