Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,RANK 2024,PLAYER 2024,TEAM 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,PLAYER 2023,TEAM 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,PLAYER 2022,TEAM 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,PLAYER 2021,TEAM 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,PLAYER 2020,TEAM 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020
NATASHA HOWARD,898700.0,DAL,898700.0,DAL,898700.0,NY,898700.0,NY,345000.0,SEA,13,NATASHA HOWARD,DAL,33,27,7,20,30.5,17.6,6.9,15.2,45.6,0.4,2.0,20.0,3.3,4.6,71.8,2.0,4.8,6.7,2.9,2.8,1.3,0.8,3.1,31.7,4,0,-5.6,18,NATASHA HOWARD,DAL,32,39,21,18,33.0,16.5,6.3,13.8,45.8,1.0,3.3,29.9,2.8,3.5,81.5,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6,32.9,12,1,2.9,16,NATASHA HOWARD,NYL,31,35,16,19,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1,30.2,10,0,-0.7,14,NATASHA HOWARD,NYL,30,13,4,9,27.5,16.2,6.7,13.5,49.4,0.9,2.8,33.3,1.8,2.4,77.4,2.2,5.1,7.2,1.7,3.8,1.3,0.5,2.9,29.7,4,0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALYSSA THOMAS,836000.0,CON,836000.0,CON,836000.0,CON,836000.0,CON,345000.0,CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,ALYSSA THOMAS,CON,32,40,27,13,36.1,15.5,6.1,12.8,47.4,0.0,0.1,0.0,3.3,4.7,71.5,2.0,7.9,9.9,7.9,3.4,1.8,0.5,2.7,37.8,28,6,5.6,27,ALYSSA THOMAS,CON,31,36,25,11,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8,31.5,12,2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ALYSSA THOMAS,CON,29,21,10,11,32.8,15.5,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,1.9,7.2,9.0,4.8,2.5,2.0,0.3,2.8,33.9,7,0,2.7
ARIKE OGUNBOWALE,725952.0,DAL,725952.0,DAL,220235.0,DAL,220235.0,DAL,220235.0,DAL,2,ARIKE OGUNBOWALE,DAL,27,38,9,29,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5.0,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2,0,-6.6,5,ARIKE OGUNBOWALE,DAL,27,40,22,18,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7,35.7,2,0,3.6,4,ARIKE OGUNBOWALE,DAL,26,30,14,16,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2,32.5,0,0,0.1,5,ARIKE OGUNBOWALE,DAL,25,32,14,18,31.4,18.7,6.2,16.3,38.3,2.5,6.7,37.6,3.8,4.4,86.4,0.7,2.5,3.2,3.3,2.1,1.2,0.0,2.3,30.0,0,0,-1.5,1,ARIKE OGUNBOWALE,DAL,24,22,8,14,34.0,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,0.5,2.3,2.8,3.4,2.0,1.5,0.0,2.4,34.2,0,0,-1.2
MARINA MABREY,620000.0,CON,620000.0,CHI,189522.0,DAL,189522.0,DAL,189522.0,DAL,26,MARINA MABREY,CON,28,40,20,20,30.9,14.4,5.4,13.0,41.3,2.5,6.5,37.7,1.2,1.7,71.0,0.6,3.8,4.4,4.1,2.4,1.1,0.4,2.6,28.4,1,0,2.7,25,MARINA MABREY,CHI,27,39,17,22,30.0,15.0,5.2,12.6,41.1,2.3,5.8,39.0,2.4,2.8,83.6,0.9,2.9,3.7,3.6,2.2,0.7,0.5,2.4,27.0,0,0,-0.5,24,MARINA MABREY,DAL,26,34,18,16,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5,25.2,1,0,-0.1,30,MARINA MABREY,DAL,25,32,14,18,24.2,13.3,4.9,12.2,40.5,2.0,5.8,34.2,1.4,1.6,88.2,0.7,3.2,3.9,2.9,2.1,1.0,0.3,2.5,24.6,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELSEY MITCHELL,618000.0,IND,618000.0,IND,618000.0,IND,232178.0,IND,232178.0,IND,8,KELSEY MITCHELL,IND,28,40,20,20,32.0,19.2,7.1,15.1,46.8,2.7,6.8,40.2,2.4,2.8,83.2,0.7,1.8,2.5,1.8,1.6,0.7,0.2,1.6,27.9,0,0,-1.7,10,KELSEY MITCHELL,IND,28,40,13,27,33.7,18.2,6.1,13.9,44.1,2.6,6.4,39.8,3.4,4.1,82.4,0.3,1.3,1.6,3.1,2.3,0.9,0.1,2.0,27.5,0,0,-2.4,6,KELSEY MITCHELL,IND,27,31,5,26,32.6,18.4,6.3,14.4,43.8,2.3,5.7,40.9,3.4,3.9,86.1,0.5,1.5,1.9,4.2,2.4,0.9,0.2,2.3,29.0,0,0,-9.1,8,KELSEY MITCHELL,IND,26,32,6,26,33.1,17.8,6.6,15.4,43.1,2.2,6.5,33.5,2.3,2.7,88.2,0.7,2.0,2.6,2.5,2.0,1.1,0.2,2.3,27.7,0,0,-6.1,7,KELSEY MITCHELL,IND,25,22,6,16,32.1,17.9,6.3,14.0,44.8,2.5,6.5,38.9,2.8,3.3,84.9,0.3,1.9,2.2,2.8,2.5,0.6,0.1,2.8,26.9,0,0,-6.4
TEAIRA MCCOWAN,587100.0,DAL,587100.0,DAL,168754.0,DAL,168754.0,IND,168754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITTNEY SYKES,575000.0,WAS,575000.0,WAS,223300.0,LA,223300.0,LA,209712.0,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,BRITTNEY SYKES,WAS,30,40,19,21,31.3,15.9,5.7,13.1,43.9,1.4,4.0,35.0,3.1,3.8,79.7,1.0,4.0,5.0,3.8,2.4,2.1,0.3,2.9,30.9,2,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEYENNE PARKER,571650.0,ATL,571650.0,ATL,571650.0,ATL,571650.0,ATL,220000.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPHEESA COLLIER,552516.0,MIN,552516.0,MIN,552516.0,MIN,220235.0,MIN,220235.0,MIN,5,NAPHEESA COLLIER,MIN,28,34,27,7,34.7,20.4,7.9,16.0,49.2,0.9,2.9,31.0,3.7,4.6,80.4,2.2,7.5,9.7,3.4,2.1,1.9,1.4,2.6,41.1,18,0,9.2,4,NAPHEESA COLLIER,MIN,27,37,17,20,33.5,21.5,8.0,16.6,48.5,0.9,3.1,29.8,4.5,5.4,84.0,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4,39.1,11,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,NAPHEESA COLLIER,MIN,25,29,22,7,34.6,16.2,6.0,13.7,44.1,0.7,2.9,25.3,3.4,3.9,86.0,1.7,4.9,6.6,3.2,2.3,1.3,1.3,2.8,31.9,5,0,5.3,15,NAPHEESA COLLIER,MIN,24,22,14,8,34.2,16.1,6.2,11.8,52.3,0.9,2.2,40.8,2.9,3.5,82.9,2.8,6.3,9.0,3.3,2.7,1.8,1.3,2.7,35.6,7,0,4.9
MYISHA HINES-ALLEN,525300.0,MIN,525300.0,WAS,525300.0,WAS,184614.0,WAS,184614.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,MYISHA HINES-ALLEN,WAS,26,22,9,13,29.9,17.0,6.8,13.4,51.0,1.2,2.8,42.6,2.2,2.6,82.8,1.6,7.3,8.9,2.6,2.2,1.5,0.2,2.9,33.0,10,0,2.2
