Nombre,Contrato
Natasha Howard,"898,700"
Alyssa Thomas,"836,000"
Arike Ogunbowale,"725,952"
Marina Mabrey,"620,000"
Kelsey Mitchell,"618,000"
Teaira McCowan,"587,100"
Brittney Sykes,"575,000"
Cheyenne Parker,"571,650"
Napheesa Collier,"552,516"
Myisha Hines-Allen,"525,300"
Jackie Young,"504,900"
Allisha Gray,"494,400"
Jewell Loyd,"491,016"
Kahleah Copper,"490,118"
Mercedes Russell,"480,000"
Diana Taurasi,"469,872"
Erica Wheeler,"444,308"
Moriah Jefferson,"424,500"
Skylar Diggins-Smith,"422,685"
Kayla McBride,"413,000"
Sabrina Ionescu,"410,060"
A'ja Wilson,"400,000"
Ariel Atkins,"400,000"
Kelsey Plum,"400,000"
Natasha Cloud,"400,000"
Chelsea Gray,"392,534"
Kalani Brown,"386,250"
Azurá Stevens,"385,000"
Jonquel Jones,"385,000"
Courtney Vandersloot,"383,670"
Jordin Canada,"375,000"
Betnijah Laney,"365,400"
Katie Lou Samuelson,"355,250"
Courtney Williams,"355,000"
Stefanie Dolson,"345,000"
Caitlin Clark,"338,056"
Cameron Brink,"338,056"
Kamilla Cardoso,"338,056"
Rickea Jackson,"338,056"
Stephanie Soares,"338,056"
Aaliyah Edwards,"324,383"
Alissa Pili,"324,383"
Angel Reese,"324,383"
Jacy Sheldon,"324,383"
Isabelle Harrison,"320,000"
Rebecca Allen,"320,000"
Ezi Magbegor,"314,650"
Marquesha Davis,"310,718"
Sophie Cunningham,"304,500"
Alanna Smith,"300,000"
Brianna Turner,"300,000"
Nia Coffey,"300,000"
Kate Martin,"297,045"
Leonie Fiebich,"297,045"
Nika Mühl,"297,045"
Sami Whitcomb,"287,500"
Kia Nurse,"285,000"
Tiffany Mitchell,"274,050"
Elizabeth Williams,"270,000"
Jade Melbourne,"268,767"
Bridget Carleton,"250,000"
Rae Burrell,"250,000"
Jessica Shepard,"243,600"
Natisha Hiedeman,"240,000"
Aliyah Boston,"233,468"
Diamond Miller,"233,468"
Maddy Siegrist,"233,468"
Karlie Samuelson,"233,450"
Stephanie Talbot,"227,000"
NaLyssa Smith,"226,668"
Rhyne Howard,"226,668"
Shakira Austin,"226,668"
Grace Berger,"224,026"
Haley Jones,"224,026"
Laeticia Amihere,"224,026"
Lou Lopez-Senechal,"224,026"
Kayla Thornton,"222,000"
Aari McDonald,"220,067"
Awak Kuier,"220,067"
Alysha Clark,"220,000"
Lexie Hull,"217,502"
Jordan Horston,"214,588"
Zia Cooke,"214,588"
Brionna Jones,"212,000"
Michaela Onyenwere,"211,167"
Kierstan Bell,"208,338"
Dorka Juhasz,"205,145"
Breanna Stewart,"205,000"
Nneka Ogwumike,"204,500"
Kiah Stokes,"203,000"
DeWanna Bonner,"200,000"
Layshia Clarendon,"200,000"
Kristy Wallace,"199,170"
Naz Hillmon,"199,170"
Olivia Nelson-Ododa,"199,170"
Tyasha Harris,"197,113"
Damiris Dantas,"197,100"
Satou Sabally,"195,000"
Dana Evans,"193,370"
DiJonai Carrington,"193,370"
Shatori Walker-Kimbrough,"192,850"
Sika Koné,"192,527"
Victaria Saxton,"192,527"
Megan Gustafson,"190,820"
Rachel Banham,"190,000"
Li Yueru,"186,920"
Lindsay Allen,"180,000"
Iliana Rupert,"179,452"
Julie Allemand,"170,000"
Lexie Brown,"158,340"
Aerial Powers,"155,000"
Nyara Sabally,"152,726"
Brittney Griner,"150,000"
Tina Charles,"130,000"
Astou Ndour,"125,000"
Diamond DeShields,"100,000"
Tiffany Hayes,"88,000"
Chennedy Carter,"76,535"
Gabby Williams,"76,535"
Joyner Holmes,"76,535"
Kaela Davis,"76,535"
Kennedy Burke,"76,535"
Monique Billings,"76,535"
Odyssey Sims,"76,535"
Sydney Colson,"76,535"
Temi Fagbenle,"76,535"
Victoria Vivians,"76,535"
Crystal Dangerfield,"76,529"
Celeste Taylor,"67,249"
Amy Atwell,"64,154"
Caitlin Bickle,"64,154"
Cecilia Zandalasini,"64,154"
Charisma Osborne,"64,154"
Emily Engstler,"64,154"
Ezinne Kalu,"64,154"
Ivana Dojkic,"64,154"
Jaelyn Brown,"64,154"
Jaylyn Sherrod,"64,154"
Julie Vanloo,"64,154"
Lorela Cubaj,"64,154"
Maya Caldwell,"64,154"
Mikiah Herbert Harrigan,"64,154"
Natasha Mack,"64,154"
Olivia Epoupa,"64,154"
Queen Egbo,"64,154"
Sevgi Uzun,"64,154"
Sug Sutton,"64,154"
Veronica Burton,"50,180"
